id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1100401,ENSG00000173068,34085,BNC2,basonuclin 2,54796,9,n/a,n/a
1095563,ENSG00000144857,60076,BOC,Boc homolog (mouse),91653,3,n/a,n/a
1089533,ENSG00000102239,676,BRS3,bombesin-like receptor 3,680,X,n/a,n/a
1103682,ENSG00000188909,123791,BSX,brain-specific homeobox,390259,11,n/a,n/a
1087134,ENSG00000010671,691,BTK,Bruton agammaglobulinemia tyrosine kinase,695,X,n/a,n/a
1096712,ENSG00000154493,78714,C10orf90,chromosome 10 open reading frame 90,118611,10,n/a,n/a
1100399,ENSG00000173064,93960,C12orf51,chromosome 12 open reading frame 51,283450,12,n/a,n/a
1092757,ENSG00000126773,41028,C14orf135,chromosome 14 open reading frame 135,64430,14,n/a,n/a
1095753,ENSG00000146267,58754,C6orf168,chromosome 6 open reading frame 168,84553,6,n/a,n/a
1096481,ENSG00000152495,810,CAMK4,calcium/calmodulin-dependent protein kinase IV,814,5,n/a,n/a
1100726,ENSG00000174807,36402,CD248,"CD248 molecule, endosialin",57124,11,n/a,n/a
1094708,ENSG00000139193,934,CD27,CD27 molecule,939,12,n/a,n/a
1089309,ENSG00000101017,953,CD40,"CD40 molecule, TNF receptor superfamily member 5",958,20,n/a,n/a
1092621,ENSG00000125810,22674,CD93,CD93 molecule,22918,20,n/a,n/a
1097017,ENSG00000157211,83518,CDCP2,CUB domain containing protein 2,200008,1,n/a,n/a
1087425,ENSG00000039068,994,CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",999,16,n/a,n/a
1087442,ENSG00000040731,1003,CDH10,"cadherin 10, type 2 (T2-cadherin)",1008,5,n/a,n/a
1094960,ENSG00000140937,1004,CDH11,"cadherin 11, type 2, OB-cadherin (osteoblast)",1009,16,n/a,n/a
1096671,ENSG00000154162,1005,CDH12,"cadherin 12, type 2 (N-cadherin 2)",1010,5,n/a,n/a
1094964,ENSG00000140945,1007,CDH13,"cadherin 13, H-cadherin (heart)",1012,16,n/a,n/a
1093094,ENSG00000129910,1008,CDH15,"cadherin 15, type 1, M-cadherin (myotubule)",1013,16,n/a,n/a
1098854,ENSG00000166589,1009,CDH16,"cadherin 16, KSP-cadherin",1014,16,n/a,n/a
1088324,ENSG00000079112,1010,CDH17,"cadherin 17, LI cadherin (liver-intestine)",1015,8,n/a,n/a
1095640,ENSG00000145526,1011,CDH18,"cadherin 18, type 2",1016,5,n/a,n/a
1088043,ENSG00000071991,28249,CDH19,"cadherin 19, type 2",28513,18,n/a,n/a
1099817,ENSG00000170558,995,CDH2,"cadherin 2, type 1, N-cadherin (neuronal)",1000,18,n/a,n/a
1089431,ENSG00000101542,28053,CDH20,"cadherin 20, type 2",28316,18,n/a,n/a
1096176,ENSG00000149654,41006,CDH22,"cadherin 22, type 2",64405,20,n/a,n/a
1090331,ENSG00000107736,40705,CDH23,cadherin-related 23,64072,10,n/a,n/a
1094813,ENSG00000139880,41004,CDH24,"cadherin 24, type 2",64403,14,n/a,n/a
1092391,ENSG00000124215,37897,CDH26,cadherin 26,60437,20,n/a,n/a
1087710,ENSG00000062038,996,CDH3,"cadherin 3, type 1, P-cadherin (placental)",1001,16,n/a,n/a
1101551,ENSG00000179242,997,CDH4,"cadherin 4, type 1, R-cadherin (retinal)",1002,20,n/a,n/a
1101624,ENSG00000179776,998,CDH5,"cadherin 5, type 2 (vascular endothelium)",1003,16,n/a,n/a
1091071,ENSG00000113361,999,CDH6,"cadherin 6, type 2, K-cadherin (fetal kidney)",1004,5,n/a,n/a
1088400,ENSG00000081138,1000,CDH7,"cadherin 7, type 2",1005,18,n/a,n/a
1096223,ENSG00000150394,1001,CDH8,"cadherin 8, type 2",1006,16,n/a,n/a
1091037,ENSG00000113100,1002,CDH9,"cadherin 9, type 2 (T1-cadherin)",1007,5,n/a,n/a
1096038,ENSG00000148600,60149,CDHR1,cadherin-related family member 1,92211,10,n/a,n/a
1088132,ENSG00000074276,34114,CDHR2,cadherin-related family member 2,54825,5,n/a,n/a
1092940,ENSG00000128536,85847,CDHR3,cadherin-related family member 3,222256,7,n/a,n/a
1103306,ENSG00000187492,123284,CDHR4,cadherin-related family member 4,389118,3,n/a,n/a
1089003,ENSG00000099834,33146,CDHR5,cadherin-related family member 5,53841,11,n/a,n/a
1094269,ENSG00000136861,35044,CDK5RAP2,CDK5 regulatory subunit associated protein 2,55755,9,n/a,n/a
1087754,ENSG00000064309,30420,CDON,Cdon homolog (mouse),50937,11,n/a,n/a
1091118,ENSG00000113722,1038,CDX1,caudal type homeobox 1,1044,5,n/a,n/a
1098579,ENSG00000165556,1039,CDX2,caudal type homeobox 2,1045,13,n/a,n/a
1093336,ENSG00000131264,1040,CDX4,caudal type homeobox 4,1046,X,n/a,n/a
1099871,ENSG00000170835,1049,CEL,carboxyl ester lipase (bile salt-stimulated lipase),1056,9,n/a,n/a
1096103,ENSG00000149187,10511,CELF1,"CUGBP, Elav-like family member 1",10658,11,n/a,n/a
1087519,ENSG00000048740,10512,CELF2,"CUGBP, Elav-like family member 2",10659,10,n/a,n/a
1097298,ENSG00000159409,11029,CELF3,"CUGBP, Elav-like family member 3",11189,1,n/a,n/a
1089429,ENSG00000101489,36132,CELF4,"CUGBP, Elav-like family member 4",56853,18,n/a,n/a
1097530,ENSG00000161082,38111,CELF5,"CUGBP, Elav-like family member 5",60680,19,n/a,n/a
1094902,ENSG00000140488,38108,CELF6,"CUGBP, Elav-like family member 6",60677,15,n/a,n/a
1088172,ENSG00000075275,9476,CELSR1,"cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)",9620,22,n/a,n/a
1095247,ENSG00000143126,1939,CELSR2,"cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)",1952,1,n/a,n/a
1087078,ENSG00000008300,1938,CELSR3,"cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)",1951,3,n/a,n/a
1092627,ENSG00000125817,1052,CENPB,"centromere protein B, 80kDa",1059,20,n/a,n/a
1104773,ENSG00000198848,1058,CES1,carboxylesterase 1,1066,16,n/a,n/a
1100360,ENSG00000172831,8747,CES2,carboxylesterase 2,8824,16,n/a,n/a
1100358,ENSG00000172828,23246,CES3,carboxylesterase 3,23491,16,n/a,n/a
1100357,ENSG00000172824,94091,CES4A,carboxylesterase 4A,283848,16,n/a,n/a
1097295,ENSG00000159398,85721,CES5A,carboxylesterase 5A,221223,16,n/a,n/a
1093749,ENSG00000134121,10594,CHL1,cell adhesion molecule with homology to L1CAM (close homolog of L1),10752,3,n/a,n/a
1088983,ENSG00000099622,1144,CIRBP,cold inducible RNA binding protein,1153,19,n/a,n/a
1092236,ENSG00000122966,10954,CIT,"citron (rho-interacting, serine/threonine kinase 21)",11113,12,n/a,n/a
1098679,ENSG00000165959,55592,CLMN,"calmin (calponin-like, transmembrane)",79789,14,n/a,n/a
1100693,ENSG00000174600,1231,CMKLR1,chemokine-like receptor 1,1240,12,n/a,n/a
1092214,ENSG00000122756,1262,CNTFR,ciliary neurotrophic factor receptor,1271,9,n/a,n/a
1087245,ENSG00000018236,1263,CNTN1,contactin 1,1272,12,n/a,n/a
1102511,ENSG00000184144,6860,CNTN2,contactin 2 (axonal),6900,1,n/a,n/a
1091128,ENSG00000113805,5035,CNTN3,contactin 3 (plasmacytoma associated),5067,3,n/a,n/a
1095519,ENSG00000144619,81059,CNTN4,contactin 4,152330,3,n/a,n/a
1096203,ENSG00000149972,33237,CNTN5,contactin 5,53942,11,n/a,n/a
1093748,ENSG00000134115,27000,CNTN6,contactin 6,27255,3,n/a,n/a
1090482,ENSG00000108797,8440,CNTNAP1,contactin associated protein 1,8506,17,n/a,n/a
1100668,ENSG00000174469,25796,CNTNAP2,contactin associated protein-like 2,26047,7,n/a,n/a
1090243,ENSG00000106714,55739,CNTNAP3,contactin associated protein-like 3,79937,9,n/a,n/a
1096525,ENSG00000152910,59601,CNTNAP4,contactin associated protein-like 4,85445,16,n/a,n/a
1096775,ENSG00000155052,79385,CNTNAP5,contactin associated protein-like 5,129684,2,n/a,n/a
1090144,ENSG00000106078,22997,COBL,cordon-bleu homolog (mouse),23242,7,n/a,n/a
1088443,ENSG00000082438,22593,COBLL1,COBL-like 1,22837,2,n/a,n/a
1087492,ENSG00000047457,1347,CP,ceruloplasmin (ferroxidase),1356,3,n/a,n/a
1093807,ENSG00000134376,23173,CRB1,crumbs homolog 1 (Drosophila),23418,1,n/a,n/a
1095985,ENSG00000148204,94824,CRB2,crumbs homolog 2 (Drosophila),286204,9,n/a,n/a
1093198,ENSG00000130545,60174,CRB3,crumbs homolog 3 (Drosophila),92359,19,n/a,n/a
1091693,ENSG00000118260,1376,CREB1,cAMP responsive element binding protein 1,1385,2,n/a,n/a
1090283,ENSG00000107175,10341,CREB3,cAMP responsive element binding protein 3,10488,9,n/a,n/a
1097067,ENSG00000157613,59994,CREB3L1,cAMP responsive element binding protein 3-like 1,90993,11,n/a,n/a
1102033,ENSG00000182158,41339,CREB3L2,cAMP responsive element binding protein 3-like 2,64764,7,n/a,n/a
1087689,ENSG00000060566,58897,CREB3L3,cAMP responsive element binding protein 3-like 3,84699,19,n/a,n/a
1095362,ENSG00000143578,80703,CREB3L4,cAMP responsive element binding protein 3-like 4,148327,1,n/a,n/a
1098061,ENSG00000163703,54827,CRELD1,cysteine-rich with EGF-like domains 1,78987,3,n/a,n/a
1102520,ENSG00000184164,55013,CRELD2,cysteine-rich with EGF-like domains 2,79174,22,n/a,n/a
1088923,ENSG00000095794,1381,CREM,cAMP responsive element modulator,1390,10,n/a,n/a
1105820,ENSG00000213145,1387,CRIP1,cysteine-rich protein 1 (intestinal),1396,14,n/a,n/a
1102186,ENSG00000182809,1388,CRIP2,cysteine-rich protein 2,1397,14,n/a,n/a
1095742,ENSG00000146215,125542,CRIP3,cysteine-rich protein 3,401262,6,n/a,n/a
1086979,ENSG00000006016,9118,CRLF1,cytokine receptor-like factor 1,9244,19,n/a,n/a
1105554,ENSG00000205755,40742,CRLF2,cytokine receptor-like factor 2,64109,X,n/a,n/a
1089389,ENSG00000101343,30821,CRNKL1,crooked neck pre-mRNA splicing factor-like 1 (Drosophila),51340,20,n/a,n/a
1089984,ENSG00000105392,1397,CRX,cone-rod homeobox,1406,19,n/a,n/a
1102135,ENSG00000182578,1425,CSF1R,colony stimulating factor 1 receptor,1436,5,n/a,n/a
1104549,ENSG00000198223,1427,CSF2RA,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",1438,X,n/a,n/a
1091814,ENSG00000119535,1430,CSF3R,colony stimulating factor 3 receptor (granulocyte),1441,1,n/a,n/a
1089729,ENSG00000103653,1434,CSK,c-src tyrosine kinase,1445,15,n/a,n/a
1100921,ENSG00000175826,23154,CTDNEP1,CTD nuclear envelope phosphatase 1,23399,17,n/a,n/a
1090319,ENSG00000107611,7981,CUBN,cubilin (intrinsic factor-cobalamin receptor),8029,10,n/a,n/a
1094540,ENSG00000138161,30114,CUZD1,CUB and zona pellucida-like domains 1,50624,10,n/a,n/a
1092124,ENSG00000121966,7806,CXCR4,chemokine (C-X-C motif) receptor 4,7852,2,n/a,n/a
1098603,ENSG00000165659,1590,DACH1,dachshund homolog 1 (Drosophila),1602,13,n/a,n/a
1092749,ENSG00000126733,78450,DACH2,dachshund homolog 2 (Drosophila),117154,X,n/a,n/a
1087976,ENSG00000070190,26816,DAPP1,dual adaptor of phosphotyrosine and 3-phosphoinositides,27071,4,n/a,n/a
1088034,ENSG00000071626,26276,DAZAP1,DAZ associated protein 1,26528,19,n/a,n/a
1090606,ENSG00000109851,78785,DBX1,developing brain homeobox 1,120237,11,n/a,n/a
1102869,ENSG00000185610,133317,DBX2,developing brain homeobox 2,440097,12,n/a,n/a
1091821,ENSG00000119599,25843,DCAF4,DDB1 and CUL4 associated factor 4,26094,14,n/a,n/a
1102070,ENSG00000182308,94572,DCAF4L1,DDB1 and CUL4 associated factor 4-like 1,285429,4,n/a,n/a
1101060,ENSG00000176566,79723,DCAF4L2,DDB1 and CUL4 associated factor 4-like 2,138009,8,n/a,n/a
1098315,ENSG00000164465,94672,DCBLD1,"discoidin, CUB and LCCL domain containing 1",285761,6,n/a,n/a
1087641,ENSG00000057019,79476,DCBLD2,"discoidin, CUB and LCCL domain containing 2",131566,3,n/a,n/a
1103291,ENSG00000187323,1618,DCC,deleted in colorectal carcinoma,1630,18,n/a,n/a
1098784,ENSG00000166341,8573,DCHS1,dachsous 1 (Drosophila),8642,11,n/a,n/a
1104265,ENSG00000197410,34087,DCHS2,dachsous 2 (Drosophila),54798,4,n/a,n/a
1088254,ENSG00000077279,1629,DCX,doublecortin,1641,X,n/a,n/a
1097767,ENSG00000162733,4890,DDR2,discoidin domain receptor tyrosine kinase 2,4921,1,n/a,n/a
1097415,ENSG00000160305,22936,DIP2A,DIP2 disco-interacting protein 2 homolog A (Drosophila),23181,21,n/a,n/a
1087833,ENSG00000066084,36882,DIP2B,DIP2 disco-interacting protein 2 homolog B (Drosophila),57609,12,n/a,n/a
1096307,ENSG00000151240,22737,DIP2C,DIP2 disco-interacting protein 2 homolog C (Drosophila),22982,10,n/a,n/a
1096259,ENSG00000150764,59613,DIXDC1,DIX domain containing 1,85458,11,n/a,n/a
1102860,ENSG00000185559,8711,DLK1,delta-like 1 homolog (Drosophila),8788,14,n/a,n/a
1100029,ENSG00000171462,41832,DLK2,delta-like 2 homolog (Drosophila),65989,6,n/a,n/a
1104700,ENSG00000198719,28250,DLL1,delta-like 1 (Drosophila),28514,6,n/a,n/a
1088782,ENSG00000090932,10536,DLL3,delta-like 3 (Drosophila),10683,19,n/a,n/a
1092993,ENSG00000128917,33858,DLL4,delta-like 4 (Drosophila),54567,15,n/a,n/a
1104326,ENSG00000197587,79212,DMBX1,diencephalon/mesencephalon homeobox 1,127343,1,n/a,n/a
1104831,ENSG00000198947,1744,DMD,dystrophin,1756,X,n/a,n/a
1103435,ENSG00000187957,60215,DNER,delta/notch-like EGF repeat containing,92737,2,n/a,n/a
1105207,ENSG00000204595,142306,DPRX,divergent-paired related homeobox,503834,19,n/a,n/a
1098587,ENSG00000165606,151459,DRGX,dorsal root ganglia homeobox,644168,10,n/a,n/a
1089552,ENSG00000102385,1809,DRP2,dystrophin related protein 2,1821,X,n/a,n/a
1100068,ENSG00000171587,1814,DSCAM,Down syndrome cell adhesion molecule,1826,21,n/a,n/a
1101165,ENSG00000177103,36726,DSCAML1,Down syndrome cell adhesion molecule like 1,57453,11,n/a,n/a
1096402,ENSG00000151914,663,DST,dystonin,667,6,n/a,n/a
1093867,ENSG00000134769,1825,DTNA,"dystrobrevin, alpha",1837,18,n/a,n/a
1094527,ENSG00000138101,1826,DTNB,"dystrobrevin, beta",1838,2,n/a,n/a
1093933,ENSG00000135144,1828,DTX1,deltex homolog 1 (Drosophila),1840,12,n/a,n/a
1101418,ENSG00000178498,83409,DTX3,deltex homolog 3 (Drosophila),196403,12,n/a,n/a
1098105,ENSG00000163840,81002,DTX3L,deltex 3-like (Drosophila),151636,3,n/a,n/a
1090627,ENSG00000110042,22975,DTX4,deltex homolog 4 (Drosophila),23220,11,n/a,n/a
1090304,ENSG00000107404,1843,DVL1,"dishevelled, dsh homolog 1 (Drosophila)",1855,1,n/a,n/a
1086933,ENSG00000004975,1844,DVL2,"dishevelled, dsh homolog 2 (Drosophila)",1856,17,n/a,n/a
1097535,ENSG00000161202,1845,DVL3,"dishevelled, dsh homolog 3 (Drosophila)",1857,3,n/a,n/a
1089948,ENSG00000105246,10003,EBI3,Epstein-Barr virus induced 3,10148,19,n/a,n/a
1098232,ENSG00000164176,9940,EDIL3,EGF-like repeats and discoidin I-like domains 3,10085,5,n/a,n/a
1096358,ENSG00000151617,1896,EDNRA,endothelin receptor type A,1909,4,n/a,n/a
1094144,ENSG00000136160,1897,EDNRB,endothelin receptor type B,1910,13,n/a,n/a
1091317,ENSG00000115380,2187,EFEMP1,EGF containing fibulin-like extracellular matrix protein 1,2202,2,n/a,n/a
1100312,ENSG00000172638,29741,EFEMP2,EGF containing fibulin-like extracellular matrix protein 2,30008,11,n/a,n/a
1099516,ENSG00000169242,1929,EFNA1,ephrin-A1,1942,1,n/a,n/a
1088982,ENSG00000099617,1930,EFNA2,ephrin-A2,1943,19,n/a,n/a
1095363,ENSG00000143590,1931,EFNA3,ephrin-A3,1944,1,n/a,n/a
1102570,ENSG00000184349,1933,EFNA5,ephrin-A5,1946,5,n/a,n/a
1088774,ENSG00000090776,1934,EFNB1,ephrin-B1,1947,X,n/a,n/a
1092534,ENSG00000125266,1935,EFNB2,ephrin-B2,1948,13,n/a,n/a
1090507,ENSG00000108947,1936,EFNB3,ephrin-B3,1949,17,n/a,n/a
1104725,ENSG00000198759,25724,EGFL6,"EGF-like-domain, multiple 6",25975,X,n/a,n/a
1095794,ENSG00000146648,1943,EGFR,epidermal growth factor receptor,1956,7,n/a,n/a
1091995,ENSG00000120738,1945,EGR1,early growth response 1,1958,5,n/a,n/a
1092229,ENSG00000122877,1946,EGR2,early growth response 2,1959,10,n/a,n/a
1101574,ENSG00000179388,1947,EGR3,early growth response 3,1960,8,n/a,n/a
1094031,ENSG00000135625,1948,EGR4,early growth response 4,1961,2,n/a,n/a
1091336,ENSG00000115504,23056,EHBP1,EH domain binding protein 1,23301,2,n/a,n/a
1100478,ENSG00000173442,90168,EHBP1L1,EH domain binding protein 1-like 1,254102,11,n/a,n/a
1087831,ENSG00000066044,1979,ELAVL1,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)",1994,19,n/a,n/a
